threshold,precision,recall,f1,accuracy
0.0,0.22,1.0,0.36,0.22
0.05,0.24,1.0,0.39,0.31
0.1,0.26,0.99,0.41,0.37
0.15,0.28,0.98,0.43,0.44
0.2,0.3,0.96,0.46,0.51
0.25,0.33,0.94,0.49,0.56
0.3,0.35,0.92,0.51,0.62
0.35,0.38,0.89,0.53,0.66
0.4,0.41,0.84,0.55,0.7
0.45,0.46,0.8,0.58,0.75
0.5,0.5,0.75,0.6,0.78
0.55,0.55,0.71,0.62,0.81
0.6,0.61,0.65,0.63,0.83
0.65,0.66,0.56,0.61,0.84
0.7,0.72,0.49,0.58,0.85
0.75,0.76,0.39,0.51,0.84
0.8,0.79,0.28,0.42,0.83
0.85,0.87,0.22,0.35,0.82
0.9,0.88,0.13,0.23,0.81
0.95,0.95,0.05,0.09,0.79
1.0,1.0,0.0,0.0,0.78
