Age,Income,Home_Status,Employment_Length,Loan_Intent,Loan_Grade,Loan_Amount,Interest_Rate,Loan_Status,Loan_Income_Percent,Historical_Default,Credit_History
26,65600,RENT,5.0,EDUCATION,D,10000,13.55,1,0.15,Y,2
40,41000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,6000,12.53,0,0.15,N,11
26,25000,RENT,0.0,PERSONAL,D,2400,15.28,1,0.1,Y,3
23,22000,RENT,1.0,EDUCATION,C,5500,13.04,0,0.25,N,4
22,75000,RENT,2.0,VENTURE,C,7200,13.61,0,0.1,N,4
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3
29,49000,RENT,3.0,PERSONAL,C,6000,13.99,1,0.12,N,6
25,31200,RENT,7.0,MEDICAL,A,3500,6.92,0,0.11,N,3
24,52582,RENT,5.0,MEDICAL,B,8500,10.62,0,0.16,N,2
24,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,11000,,0,0.16,N,3
37,48000,OWN,8.0,PERSONAL,A,2500,6.03,0,0.05,N,11
37,24500,RENT,0.0,PERSONAL,B,2400,11.71,0,0.1,N,11
23,95327,OWN,4.0,VENTURE,A,4325,7.74,0,0.05,N,2
24,45600,RENT,0.0,VENTURE,C,14500,,1,0.32,N,3
23,85000,MORTGAGE,3.0,EDUCATION,B,15000,10.0,0,0.18,N,2
23,75000,MORTGAGE,8.0,EDUCATION,D,3000,14.11,0,0.04,N,3
22,41600,MORTGAGE,0.0,DEBTCONSOLIDATION,B,6800,10.59,0,0.16,N,3
22,40000,RENT,1.0,DEBTCONSOLIDATION,C,12000,13.22,0,0.3,N,4
26,35000,OWN,1.0,VENTURE,A,4175,7.74,0,0.12,N,4
24,44000,RENT,1.0,DEBTCONSOLIDATION,D,4000,17.58,1,0.09,N,2
41,47000,MORTGAGE,5.0,EDUCATION,B,7500,11.12,0,0.16,N,13
22,36850,RENT,3.0,EDUCATION,B,5200,12.42,0,0.14,N,4
25,25000,OWN,5.0,HOMEIMPROVEMENT,C,2000,14.17,0,0.08,N,3
28,65000,OWN,13.0,VENTURE,A,8000,7.66,0,0.12,N,7
26,52000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,10750,9.62,0,0.21,N,2
37,260000,MORTGAGE,12.0,VENTURE,D,20000,14.96,0,0.08,N,12
22,42000,RENT,6.0,DEBTCONSOLIDATION,A,10000,6.17,0,0.24,N,3
36,62000,RENT,3.0,HOMEIMPROVEMENT,B,8000,11.12,0,0.13,N,12
38,126000,MORTGAGE,3.0,VENTURE,D,2400,,0,0.02,N,14
33,19200,RENT,,PERSONAL,B,6000,10.65,1,0.31,N,6
29,91500,RENT,2.0,MEDICAL,B,4500,10.65,0,0.05,N,5
24,79000,RENT,8.0,DEBTCONSOLIDATION,A,21000,7.9,0,0.27,N,4
26,30000,RENT,2.0,EDUCATION,B,2700,10.75,0,0.09,N,2
24,75000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,7000,7.9,0,0.09,N,4
42,72000,MORTGAGE,25.0,DEBTCONSOLIDATION,A,10000,7.14,0,0.14,N,13
29,50004,MORTGAGE,5.0,PERSONAL,A,10000,5.99,0,0.2,N,5
23,44004,OWN,7.0,EDUCATION,A,17000,6.62,0,0.39,N,2
