threshold,precision,recall,f1,accuracy
0.0,0.22,1.0,0.36,0.22
0.05,0.3,0.97,0.45,0.49
0.1,0.36,0.92,0.52,0.63
0.15,0.42,0.87,0.57,0.71
0.2,0.49,0.83,0.62,0.78
0.25,0.55,0.8,0.65,0.81
0.3,0.59,0.78,0.67,0.84
0.35,0.63,0.76,0.69,0.85
0.4,0.68,0.75,0.71,0.87
0.45,0.7,0.73,0.72,0.87
0.5,0.72,0.71,0.71,0.88
0.55,0.72,0.69,0.71,0.88
0.6,0.73,0.68,0.7,0.88
0.65,0.74,0.66,0.7,0.88
0.7,0.75,0.64,0.69,0.88
0.75,0.77,0.6,0.68,0.87
0.8,0.8,0.54,0.65,0.87
0.85,0.81,0.47,0.6,0.86
0.9,0.84,0.37,0.52,0.85
0.95,0.91,0.23,0.37,0.83
1.0,0.0,0.0,0.0,0.78
